acı acımak
ak	akmak
aktar	aktarmak
al	almak
an	anmak
ara	aramak
art	artmak
as	asmak
at	atmak
ata	atamak
ay	aymak
az	azmak
aç	açmak
ağ	ağmak
ağrı	ağrımak
balkı	balkımak
ban	banmak
barış	barışmak
bas	basmak
bay	baymak
bayatsı	bayatsımak
bağda	bağdamak
bağdaş	bağdaşmak
bağır	bağırmak
benzeş	benzeşmek
beze	bezemek
bezen	bezenmek
bin	binmek
bit	bitmek
boya	boyamak
boz	bozmak
bul	bulmak
bula	bulamak
bun	bunmak
buna	bunamak
burcu	burcumak
böğür	böğürmek
bük	bükmek
bükün	bükünmek
büyü	büyümek
büz	büzmek
dal	dalmak
de	demek
devir	devirmek
dik	dikmek
dikel	dikelmek
dil	dilmek
din	dinmek
diren	direnmek
diril	dirilmek
doku	dokumak
don	donmak
duy	duymak
dönel	dönelmek
dürtüş	dürtüşmek
düz	düzmek
düze	düzemek
düş	düşmek
düşün	düşünmek
ek	ekmek
ekşi	ekşimek
em	emmek
er	ermek
es	esmek
eser	esermek
esir	esirmek
eski	eskimek
et	etmek
etki	etkimek
eğir	eğirmek
eş	eşmek
fıkra	fıkramak
genel	genelmek
gerek	gerekmek
gez	gezmek
geç	geçmek
gider	gidermek
gönder	göndermek
gönen	gönenmek
görüş	görüşmek
göze	gözemek
göç	göçmek
göçer	göçermek
gül	gülmek
gülüş	gülüşmek
güreş	güreşmek
güven	güvenmek
hasret	hasretmek
hisset	hissetmek
il	ilmek
imren	imrenmek
inan	inanmak
indirgen	indirgenmek
it	itmek
iç	içmek
kak	kakmak
kal	kalmak
kan	kanmak
kana	kanamak
kanat	kanatmak
kap	kapmak
kar	karmak
kara	karamak
karar	kararmak
kartal	kartalmak
karı	karımak
kas	kasmak
kat	katmak
kay	kaymak
kayır	kayırmak
kayıt	kayıtmak
kayşa	kayşamak
kaz	kazmak
kazı	kazımak
kaç	kaçmak
kaça	kaçamak
kaşan	kaşanmak
kep	kepmek
kes	kesmek
koca	kocamak
kok	kokmak
kokuş	kokuşmak
konuş	konuşmak
koru	korumak
korun	korunmak
kov	kovmak
koy	koymak
koç	koçmak
kur	kurmak
kuru	kurumak
kurut	kurutmak
köhne	köhnemek
kösnül	kösnülmek
kükre	kükremek
küre	küremek
küs	küsmek
kıl	kılmak
kına	kınamak
kırk	kırkmak
kısırgan	kısırganmak
kız	kızmak
ol	olmak
oluş	oluşmak
on	onmak
ona	onamak
onar	onarmak
oy	oymak
oydaş	oydaşmak
oynaş	oynaşmak
oyulga	oyulgamak
pus	pusmak
sakın	sakınmak
sal	salmak
san	sanmak
sap	sapmak
sarkıt	sarkıtmak
sası	sasımak
sav	savmak
savaş	savaşmak
say	saymak
saç	saçmak
sağ	sağmak
sek	sekmek
sik	sikmek
sin	sinmek
sokuş	sokuşmak
sol	solmak
soru	sorumak
soy	soymak
su	sumak
sürtüş	sürtüşmek
sürç	sürçmek
sürü	sürümek
süs	süsmek
sık	sıkmak
sırtar	sırtarmak
sıva	sıvamak
sığ	sığmak
tak	takmak
tart	tartmak
tat	tatmak
taş	taşmak
taşıt	taşıtmak
tepki	tepkimek
tok	tokmak
tutuş	tutuşmak
tün	tünmek
türe	türemek
tüy	tüymek
tık	tıkmak
tın	tınmak
ulu	ulumak
ut	utmak
uç	uçmak
uçuş	uçuşmak
uğra	uğramak
var	varmak
vuruş	vuruşmak
yabansı	yabansımak
yak	yakmak
yan	yanmak
yansı	yansımak
yar	yarmak
yara	yaramak
yaraş	yaraşmak
yat	yatmak
yay	yaymak
yaz	yazmak
yağ	yağmak
yaş	yaşmak
yaşa	yaşamak
yel	yelmek
yen	yenmek
yol	yolmak
yont	yontmak
yoğurt	yoğurtmak
yükün	yükünmek
yüz	yüzmek
zulmet	zulmetmek
çak	çakmak
çal	çalmak
çap	çapmak
çat	çatmak
çav	çavmak
çağ	çağmak
çek	çekmek
çim	çimmek
çise	çisemek
çit	çitmek
çiçeksi	çiçeksimek
çökel	çökelmek
çöküş	çöküşmek
çöz	çözmek
çözüş	çözüşmek
çığır	çığırmak
ökse	öksemek
öl	ölmek
ölçer	ölçermek
ölçün	ölçünmek
öpüş	öpüşmek
örtüş	örtüşmek
ötüş	ötüşmek
öze	özemek
özen	özenmek
öğür	öğürmek
öğüt	öğütmek
üre	üremek
üvey	üveymek
ıra	ıramak
ısın	ısınmak
